id,text,playCount,shareCount,commentCount,authorMeta_name,authorMeta_nickName,authorMeta_verified,musicMeta_musicName,musicMeta_musicAuthor,musicMeta_musicOriginal,videoMeta_duration
6907228749016714497,Confidence went 📈,44800,50,68,ninakleij,Nina,False,Element,Pop Smoke,False,15
6875468410612993286,Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,838100,1817,936,joeysofo,JoeySofo ,False,Without Me,rapidsongs ,True,11
6898699405898059010,Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,15300000,21100,27100,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,19
6902819837345533186,,94900,197,143,naomivaneeren,Naomi van eeren ✨,False,Justin Timberlake - Mirrors,Noah,True,13
6905635666588192002,小技です👟✨#tiktok教室#tutorial,115300,198,52,io.dreamer_mk,io. Dreamer,False,原聲,Mj.无名氏,True,22
6895497835681287426,Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,2800000,2846,2732,the_volleyball_community,Volleyball community,False,Diamonds,Sam Smith,False,29
6895303013867539713,Oh no,62200,0,4,milanvannleeuwen,Milan,False,origineel geluid,🌹Rosalie🌹,True,11
6884590643327290625,#TimeWarpScan,81200,201,354,helen.c_,Helen,False,original sound,Moonpie,True,9
6906514963569888513,"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",8071,1,54,sulekolik,@Şulekolik,False,Believer,Imagine Dragons,False,15
6894206452450217217,#kids #parents #funny,95800,716,94,pien.the.pug,Jans,False,Snort laugh,Lauren,True,15
6902751117805899009,Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,39300,17,19,_ylvax,💘 Ylva Bloemsma 💘,False,WITHOUT YOU,The Kid LAROI,False,9
